t_mono,wall_ts,model,phase,gpu_w,gpu_temp_c,cpu_temp_c,cpu_pct,reasoning_mode
11472.526,,mistral:7b,run1_p14,138.90,68.0,,,n/a
11473.050,,mistral:7b,run1_p14,138.82,67.0,,,n/a
11473.573,,mistral:7b,run1_p14,138.39,67.0,,,n/a
11474.095,,mistral:7b,run1_p14,137.65,67.0,,,n/a
11474.618,,mistral:7b,run1_p14,137.74,67.0,,,n/a
11475.141,,mistral:7b,run1_p14,138.39,68.0,,,n/a
11475.665,,mistral:7b,run1_p14,138.09,67.0,,,n/a
11476.189,,mistral:7b,run1_p14,137.98,67.0,,,n/a
11476.714,,mistral:7b,run1_p14,138.37,68.0,,,n/a
11477.236,,mistral:7b,run1_p14,138.44,67.0,,,n/a
11477.765,,mistral:7b,run2_p0,95.58,56.0,,,n/a
11478.295,,mistral:7b,run2_p1,67.06,57.0,,,n/a
11478.819,,mistral:7b,run2_p1,95.98,64.0,,,n/a
11479.365,,mistral:7b,run2_p1,124.07,67.0,,,n/a
11479.919,,mistral:7b,run2_p2,98.89,58.0,,,n/a
11480.444,,mistral:7b,run2_p2,97.27,63.0,,,n/a
11480.975,,mistral:7b,run2_p2,126.86,66.0,,,n/a
11481.502,,mistral:7b,run2_p2,137.02,67.0,,,n/a
11482.025,,mistral:7b,run2_p2,137.07,66.0,,,n/a
11482.557,,mistral:7b,run2_p2,136.79,67.0,,,n/a
11483.086,,mistral:7b,run2_p2,136.75,67.0,,,n/a
11483.616,,mistral:7b,run2_p2,136.79,67.0,,,n/a
11484.162,,mistral:7b,run2_p3,114.24,56.0,,,n/a
11484.699,,mistral:7b,run2_p4,100.48,57.0,,,n/a
11485.225,,mistral:7b,run2_p4,107.30,65.0,,,n/a
11485.772,,mistral:7b,run2_p4,130.26,66.0,,,n/a
11486.299,,mistral:7b,run2_p4,134.26,66.0,,,n/a
11486.831,,mistral:7b,run2_p5,102.03,56.0,,,n/a
11487.356,,mistral:7b,run2_p5,95.46,65.0,,,n/a
11487.881,,mistral:7b,run2_p5,128.06,66.0,,,n/a
11488.405,,mistral:7b,run2_p5,134.60,66.0,,,n/a
11488.930,,mistral:7b,run2_p5,134.82,66.0,,,n/a
11489.464,,mistral:7b,run2_p6,99.86,59.0,,,n/a
11490.022,,mistral:7b,run2_p6,98.27,63.0,,,n/a
11490.546,,mistral:7b,run2_p6,132.93,66.0,,,n/a
11491.068,,mistral:7b,run2_p6,134.32,66.0,,,n/a
11491.593,,mistral:7b,run2_p6,134.37,66.0,,,n/a
11492.116,,mistral:7b,run2_p6,134.49,66.0,,,n/a
11492.639,,mistral:7b,run2_p6,134.57,66.0,,,n/a
11493.163,,mistral:7b,run2_p6,134.49,66.0,,,n/a
11493.686,,mistral:7b,run2_p6,134.43,66.0,,,n/a
11494.211,,mistral:7b,run2_p6,134.82,66.0,,,n/a
11494.750,,mistral:7b,run2_p6,135.05,66.0,,,n/a
11495.276,,mistral:7b,run2_p6,134.87,66.0,,,n/a
11495.799,,mistral:7b,run2_p6,134.62,66.0,,,n/a
11496.322,,mistral:7b,run2_p6,134.83,66.0,,,n/a
11496.845,,mistral:7b,run2_p6,134.74,66.0,,,n/a
11497.382,,mistral:7b,run2_p7,107.33,66.0,,,n/a
11497.906,,mistral:7b,run2_p7,106.94,64.0,,,n/a
11498.432,,mistral:7b,run2_p7,125.70,66.0,,,n/a
11498.970,,mistral:7b,run2_p7,134.23,66.0,,,n/a
11499.494,,mistral:7b,run2_p7,134.45,66.0,,,n/a
11500.023,,mistral:7b,run2_p7,134.60,66.0,,,n/a
11500.548,,mistral:7b,run2_p7,134.75,66.0,,,n/a
11501.072,,mistral:7b,run2_p7,134.81,66.0,,,n/a
11501.595,,mistral:7b,run2_p7,134.74,66.0,,,n/a
11502.120,,mistral:7b,run2_p7,134.64,66.0,,,n/a
11502.643,,mistral:7b,run2_p7,134.71,66.0,,,n/a
11503.166,,mistral:7b,run2_p7,135.04,66.0,,,n/a
11503.690,,mistral:7b,run2_p7,135.35,66.0,,,n/a
11504.214,,mistral:7b,run2_p7,135.46,67.0,,,n/a
11504.737,,mistral:7b,run2_p7,135.54,67.0,,,n/a
11505.273,,mistral:7b,run2_p7,135.47,67.0,,,n/a
11505.796,,mistral:7b,run2_p7,135.34,67.0,,,n/a
11506.322,,mistral:7b,run2_p7,135.43,66.0,,,n/a
11506.846,,mistral:7b,run2_p7,135.40,66.0,,,n/a
11507.391,,mistral:7b,run2_p8,132.47,66.0,,,n/a
11507.913,,mistral:7b,run2_p8,128.68,59.0,,,n/a
11508.439,,mistral:7b,run2_p8,131.59,67.0,,,n/a
11508.969,,mistral:7b,run2_p8,135.48,67.0,,,n/a
11509.492,,mistral:7b,run2_p8,135.48,67.0,,,n/a
11510.018,,mistral:7b,run2_p8,135.31,67.0,,,n/a
11510.543,,mistral:7b,run2_p8,135.30,67.0,,,n/a
11511.066,,mistral:7b,run2_p8,135.35,67.0,,,n/a
11511.590,,mistral:7b,run2_p8,135.41,67.0,,,n/a
11512.113,,mistral:7b,run2_p8,135.57,67.0,,,n/a
11512.637,,mistral:7b,run2_p8,135.51,67.0,,,n/a
11513.159,,mistral:7b,run2_p8,135.57,67.0,,,n/a
11513.697,,mistral:7b,run2_p9,133.59,67.0,,,n/a
11514.223,,mistral:7b,run2_p9,126.87,66.0,,,n/a
11514.745,,mistral:7b,run2_p9,128.66,67.0,,,n/a
11515.269,,mistral:7b,run2_p9,135.37,67.0,,,n/a
11515.793,,mistral:7b,run2_p9,135.45,67.0,,,n/a
11516.315,,mistral:7b,run2_p9,135.49,67.0,,,n/a
11516.858,,mistral:7b,run2_p10,125.06,67.0,,,n/a
11517.383,,mistral:7b,run2_p10,123.03,65.0,,,n/a
11517.909,,mistral:7b,run2_p10,124.99,66.0,,,n/a
11518.431,,mistral:7b,run2_p10,135.26,67.0,,,n/a
11518.956,,mistral:7b,run2_p10,135.28,67.0,,,n/a
11519.480,,mistral:7b,run2_p10,135.41,67.0,,,n/a
11520.003,,mistral:7b,run2_p10,135.40,67.0,,,n/a
11520.533,,mistral:7b,run2_p10,135.24,67.0,,,n/a
11521.057,,mistral:7b,run2_p10,134.86,67.0,,,n/a
11521.581,,mistral:7b,run2_p10,134.62,67.0,,,n/a
11522.105,,mistral:7b,run2_p10,135.19,67.0,,,n/a
11522.629,,mistral:7b,run2_p10,135.38,67.0,,,n/a
11523.152,,mistral:7b,run2_p10,135.38,67.0,,,n/a
11523.676,,mistral:7b,run2_p10,135.74,67.0,,,n/a
11524.203,,mistral:7b,run2_p11,120.66,67.0,,,n/a
11524.726,,mistral:7b,run2_p11,117.67,65.0,,,n/a
11525.249,,mistral:7b,run2_p11,124.33,67.0,,,n/a
11525.772,,mistral:7b,run2_p11,135.38,67.0,,,n/a
11526.296,,mistral:7b,run2_p11,135.47,67.0,,,n/a
11526.819,,mistral:7b,run2_p11,135.40,66.0,,,n/a
11527.341,,mistral:7b,run2_p11,135.63,67.0,,,n/a
11527.865,,mistral:7b,run2_p11,135.79,67.0,,,n/a
11528.388,,mistral:7b,run2_p11,135.69,67.0,,,n/a
11528.911,,mistral:7b,run2_p11,135.02,67.0,,,n/a
11529.439,,mistral:7b,run2_p11,134.74,67.0,,,n/a
11529.964,,mistral:7b,run2_p11,135.88,67.0,,,n/a
11530.487,,mistral:7b,run2_p11,137.19,67.0,,,n/a
11531.009,,mistral:7b,run2_p11,137.63,67.0,,,n/a
11531.533,,mistral:7b,run2_p11,138.17,67.0,,,n/a
11532.056,,mistral:7b,run2_p11,137.98,67.0,,,n/a
11532.579,,mistral:7b,run2_p11,137.97,67.0,,,n/a
11533.101,,mistral:7b,run2_p11,137.96,67.0,,,n/a
11533.623,,mistral:7b,run2_p11,138.00,67.0,,,n/a
11534.146,,mistral:7b,run2_p11,138.18,67.0,,,n/a
11534.675,,mistral:7b,run2_p11,138.27,67.0,,,n/a
11535.200,,mistral:7b,run2_p11,138.13,67.0,,,n/a
11535.725,,mistral:7b,run2_p11,138.14,67.0,,,n/a
11536.251,,mistral:7b,run2_p11,138.39,67.0,,,n/a
11536.776,,mistral:7b,run2_p11,138.62,67.0,,,n/a
11537.299,,mistral:7b,run2_p11,138.68,67.0,,,n/a
11537.822,,mistral:7b,run2_p11,138.53,68.0,,,n/a
11538.347,,mistral:7b,run2_p11,138.54,67.0,,,n/a
11538.885,,mistral:7b,run2_p12,122.03,58.0,,,n/a
11539.413,,mistral:7b,run2_p12,114.99,67.0,,,n/a
11539.938,,mistral:7b,run2_p12,131.15,67.0,,,n/a
11540.462,,mistral:7b,run2_p12,137.62,67.0,,,n/a
11540.991,,mistral:7b,run2_p12,136.49,67.0,,,n/a
11541.517,,mistral:7b,run2_p12,135.58,67.0,,,n/a
11542.043,,mistral:7b,run2_p12,136.72,67.0,,,n/a
11542.568,,mistral:7b,run2_p12,138.12,67.0,,,n/a
11543.091,,mistral:7b,run2_p12,138.16,67.0,,,n/a
11543.613,,mistral:7b,run2_p12,138.35,67.0,,,n/a
11544.137,,mistral:7b,run2_p12,138.40,67.0,,,n/a
11544.718,,mistral:7b,run2_p13,130.87,67.0,,,n/a
11545.246,,mistral:7b,run2_p13,130.90,67.0,,,n/a
11545.769,,mistral:7b,run2_p13,130.69,67.0,,,n/a
11546.298,,mistral:7b,run2_p13,137.04,67.0,,,n/a
11546.821,,mistral:7b,run2_p13,135.50,67.0,,,n/a
11547.345,,mistral:7b,run2_p13,134.51,67.0,,,n/a
11547.867,,mistral:7b,run2_p13,134.86,67.0,,,n/a
11548.390,,mistral:7b,run2_p13,136.99,67.0,,,n/a
11548.913,,mistral:7b,run2_p13,138.03,68.0,,,n/a
11549.437,,mistral:7b,run2_p13,137.47,67.0,,,n/a
11549.962,,mistral:7b,run2_p13,134.29,66.0,,,n/a
11550.487,,mistral:7b,run2_p13,133.16,67.0,,,n/a
11551.011,,mistral:7b,run2_p13,134.87,67.0,,,n/a
11551.534,,mistral:7b,run2_p13,135.36,67.0,,,n/a
11552.061,,mistral:7b,run2_p13,135.34,67.0,,,n/a
11552.584,,mistral:7b,run2_p13,133.84,67.0,,,n/a
11553.110,,mistral:7b,run2_p13,133.60,67.0,,,n/a
11553.644,,mistral:7b,run2_p13,134.76,67.0,,,n/a
11554.169,,mistral:7b,run2_p13,134.47,67.0,,,n/a
11554.704,,mistral:7b,run2_p14,100.07,61.0,,,n/a
11555.232,,mistral:7b,run2_p14,69.82,56.0,,,n/a
11555.754,,mistral:7b,run2_p14,83.96,59.0,,,n/a
11556.278,,mistral:7b,run2_p14,90.59,59.0,,,n/a
11556.808,,mistral:7b,run2_p14,90.98,59.0,,,n/a
11557.333,,mistral:7b,run2_p14,91.40,59.0,,,n/a
11557.856,,mistral:7b,run2_p14,91.89,59.0,,,n/a
11558.385,,mistral:7b,run2_p14,92.29,59.0,,,n/a
11558.909,,mistral:7b,run2_p14,94.27,60.0,,,n/a
11559.436,,mistral:7b,run2_p14,102.83,61.0,,,n/a
11559.960,,mistral:7b,run2_p14,125.08,66.0,,,n/a
11560.485,,mistral:7b,run2_p14,136.88,66.0,,,n/a
11561.008,,mistral:7b,run2_p14,137.32,66.0,,,n/a
11561.531,,mistral:7b,run2_p14,136.10,65.0,,,n/a
11562.053,,mistral:7b,run2_p14,135.97,66.0,,,n/a
11562.576,,mistral:7b,run2_p14,137.42,66.0,,,n/a
11563.097,,mistral:7b,run2_p14,137.49,67.0,,,n/a
11563.619,,mistral:7b,run2_p14,137.84,67.0,,,n/a
11564.142,,mistral:7b,run2_p14,138.26,66.0,,,n/a
11564.664,,mistral:7b,run2_p14,138.29,67.0,,,n/a
11565.187,,mistral:7b,run2_p14,138.30,67.0,,,n/a
11565.709,,mistral:7b,run2_p14,138.55,67.0,,,n/a
11566.231,,mistral:7b,run2_p14,138.73,67.0,,,n/a
11566.758,,mistral:7b,run2_p14,138.72,67.0,,,n/a
11567.285,,mistral:7b,run2_p14,138.25,67.0,,,n/a
11567.808,,mistral:7b,run2_p14,137.89,67.0,,,n/a
11568.330,,mistral:7b,run2_p14,137.85,67.0,,,n/a
11568.853,,mistral:7b,run2_p14,138.01,67.0,,,n/a
11569.376,,mistral:7b,run2_p14,138.20,67.0,,,n/a
11569.899,,mistral:7b,run2_p14,138.43,67.0,,,n/a
11570.433,,mistral:7b,run2_p14,138.66,67.0,,,n/a
11570.963,,mistral:7b,run2_p14,138.40,67.0,,,n/a
11571.489,,mistral:7b,run2_p14,138.55,67.0,,,n/a
11572.012,,mistral:7b,run2_p14,138.67,67.0,,,n/a
11572.544,,mistral:7b,run2_p14,138.55,67.0,,,n/a
11573.066,,mistral:7b,run2_p14,138.71,67.0,,,n/a
11573.591,,mistral:7b,run2_p14,138.85,67.0,,,n/a
11574.114,,mistral:7b,run2_p14,139.03,67.0,,,n/a
11574.636,,mistral:7b,run2_p14,139.07,67.0,,,n/a
11575.160,,mistral:7b,run2_p14,138.87,67.0,,,n/a
11575.693,,mistral:7b,run3_p0,94.67,60.0,,,n/a
11576.217,,mistral:7b,run3_p0,90.39,55.0,,,n/a
11576.743,,mistral:7b,run3_p1,100.11,66.0,,,n/a
11577.267,,mistral:7b,run3_p1,103.91,55.0,,,n/a
11577.836,,mistral:7b,run3_p2,125.11,67.0,,,n/a
11578.376,,mistral:7b,run3_p3,106.46,57.0,,,n/a
11578.902,,mistral:7b,run3_p4,93.34,61.0,,,n/a
11579.425,,mistral:7b,run3_p4,106.28,65.0,,,n/a
11579.947,,mistral:7b,run3_p4,132.38,66.0,,,n/a
11580.485,,mistral:7b,run3_p5,97.92,56.0,,,n/a
11581.008,,mistral:7b,run3_p5,90.91,64.0,,,n/a
11581.531,,mistral:7b,run3_p5,129.41,66.0,,,n/a
11582.054,,mistral:7b,run3_p5,136.40,66.0,,,n/a
11582.589,,mistral:7b,run3_p6,126.55,66.0,,,n/a
11583.114,,mistral:7b,run3_p6,119.47,63.0,,,n/a
11583.640,,mistral:7b,run3_p6,130.71,66.0,,,n/a
11584.163,,mistral:7b,run3_p6,137.71,66.0,,,n/a
11584.686,,mistral:7b,run3_p6,137.97,67.0,,,n/a
11585.210,,mistral:7b,run3_p6,137.95,67.0,,,n/a
11585.733,,mistral:7b,run3_p6,138.01,67.0,,,n/a
11586.258,,mistral:7b,run3_p6,138.16,67.0,,,n/a
11586.781,,mistral:7b,run3_p6,138.24,67.0,,,n/a
11587.307,,mistral:7b,run3_p6,138.29,67.0,,,n/a
11587.842,,mistral:7b,run3_p6,138.34,67.0,,,n/a
11588.365,,mistral:7b,run3_p6,138.51,67.0,,,n/a
11588.887,,mistral:7b,run3_p6,138.46,67.0,,,n/a
11589.408,,mistral:7b,run3_p6,137.97,67.0,,,n/a
11589.933,,mistral:7b,run3_p6,137.86,66.0,,,n/a
11590.455,,mistral:7b,run3_p6,138.07,66.0,,,n/a
11590.977,,mistral:7b,run3_p6,138.22,67.0,,,n/a
11591.510,,mistral:7b,run3_p7,96.01,61.0,,,n/a
11592.032,,mistral:7b,run3_p7,94.65,60.0,,,n/a
11592.557,,mistral:7b,run3_p7,127.66,66.0,,,n/a
11593.081,,mistral:7b,run3_p7,137.08,66.0,,,n/a
11593.606,,mistral:7b,run3_p7,137.04,67.0,,,n/a
11594.130,,mistral:7b,run3_p7,136.79,67.0,,,n/a
11594.653,,mistral:7b,run3_p7,136.66,67.0,,,n/a
11595.177,,mistral:7b,run3_p7,136.80,67.0,,,n/a
11595.704,,mistral:7b,run3_p7,137.06,67.0,,,n/a
11596.228,,mistral:7b,run3_p7,137.34,67.0,,,n/a
11596.751,,mistral:7b,run3_p7,137.43,67.0,,,n/a
11597.274,,mistral:7b,run3_p7,137.48,67.0,,,n/a
11597.798,,mistral:7b,run3_p7,137.46,67.0,,,n/a
11598.325,,mistral:7b,run3_p7,137.72,67.0,,,n/a
11598.850,,mistral:7b,run3_p7,137.70,67.0,,,n/a
11599.378,,mistral:7b,run3_p7,137.84,67.0,,,n/a
11599.903,,mistral:7b,run3_p7,138.01,67.0,,,n/a
11600.428,,mistral:7b,run3_p7,138.12,67.0,,,n/a
11600.962,,mistral:7b,run3_p8,101.19,59.0,,,n/a
11601.486,,mistral:7b,run3_p8,93.28,62.0,,,n/a
11602.009,,mistral:7b,run3_p8,130.03,66.0,,,n/a
11602.534,,mistral:7b,run3_p8,137.28,67.0,,,n/a
11603.059,,mistral:7b,run3_p8,136.90,67.0,,,n/a
11603.584,,mistral:7b,run3_p8,136.77,67.0,,,n/a
11604.115,,mistral:7b,run3_p8,136.81,66.0,,,n/a
11604.639,,mistral:7b,run3_p8,137.10,67.0,,,n/a
11605.162,,mistral:7b,run3_p8,137.40,67.0,,,n/a
11605.687,,mistral:7b,run3_p8,137.59,67.0,,,n/a
11606.214,,mistral:7b,run3_p8,137.59,67.0,,,n/a
11606.737,,mistral:7b,run3_p8,137.61,67.0,,,n/a
11607.261,,mistral:7b,run3_p8,137.47,67.0,,,n/a
11607.795,,mistral:7b,run3_p9,128.57,61.0,,,n/a
11608.322,,mistral:7b,run3_p9,122.05,67.0,,,n/a
11608.845,,mistral:7b,run3_p9,129.99,67.0,,,n/a
11609.368,,mistral:7b,run3_p9,137.35,67.0,,,n/a
11609.895,,mistral:7b,run3_p9,137.06,67.0,,,n/a
11610.419,,mistral:7b,run3_p9,137.01,67.0,,,n/a
11610.943,,mistral:7b,run3_p9,137.29,67.0,,,n/a
11611.486,,mistral:7b,run3_p10,123.02,67.0,,,n/a
11612.010,,mistral:7b,run3_p10,124.30,66.0,,,n/a
11612.533,,mistral:7b,run3_p10,130.97,67.0,,,n/a
11613.056,,mistral:7b,run3_p10,137.35,67.0,,,n/a
11613.582,,mistral:7b,run3_p10,137.52,67.0,,,n/a
11614.106,,mistral:7b,run3_p10,137.87,67.0,,,n/a
11614.631,,mistral:7b,run3_p10,137.96,67.0,,,n/a
11615.154,,mistral:7b,run3_p10,137.72,67.0,,,n/a
11615.676,,mistral:7b,run3_p10,137.55,67.0,,,n/a
11616.202,,mistral:7b,run3_p10,137.89,67.0,,,n/a
11616.728,,mistral:7b,run3_p10,138.15,67.0,,,n/a
11617.251,,mistral:7b,run3_p10,137.92,68.0,,,n/a
11617.774,,mistral:7b,run3_p10,137.75,67.0,,,n/a
11618.329,,mistral:7b,run3_p11,104.05,57.0,,,n/a
11618.851,,mistral:7b,run3_p11,103.74,66.0,,,n/a
11619.374,,mistral:7b,run3_p11,129.02,67.0,,,n/a
11619.896,,mistral:7b,run3_p11,137.38,67.0,,,n/a
11620.420,,mistral:7b,run3_p11,137.65,67.0,,,n/a
11620.945,,mistral:7b,run3_p11,137.89,67.0,,,n/a
11621.468,,mistral:7b,run3_p11,138.04,67.0,,,n/a
11621.990,,mistral:7b,run3_p11,137.94,67.0,,,n/a
11622.515,,mistral:7b,run3_p11,137.81,67.0,,,n/a
11623.037,,mistral:7b,run3_p11,137.69,67.0,,,n/a
11623.562,,mistral:7b,run3_p11,137.86,67.0,,,n/a
11624.087,,mistral:7b,run3_p11,137.89,67.0,,,n/a
11624.610,,mistral:7b,run3_p11,138.07,67.0,,,n/a
11625.133,,mistral:7b,run3_p11,138.15,67.0,,,n/a
11625.656,,mistral:7b,run3_p11,138.09,67.0,,,n/a
11626.178,,mistral:7b,run3_p11,138.10,67.0,,,n/a
11626.701,,mistral:7b,run3_p11,137.98,67.0,,,n/a
11627.224,,mistral:7b,run3_p11,138.07,67.0,,,n/a
11627.748,,mistral:7b,run3_p11,138.13,67.0,,,n/a
11628.277,,mistral:7b,run3_p11,138.42,68.0,,,n/a
11628.804,,mistral:7b,run3_p11,138.21,67.0,,,n/a
11629.329,,mistral:7b,run3_p11,138.23,67.0,,,n/a
11629.854,,mistral:7b,run3_p11,138.41,68.0,,,n/a
11630.377,,mistral:7b,run3_p11,138.41,68.0,,,n/a
11630.914,,mistral:7b,run3_p12,114.11,68.0,,,n/a
11631.441,,mistral:7b,run3_p12,108.58,64.0,,,n/a
11631.971,,mistral:7b,run3_p12,132.48,67.0,,,n/a
11632.499,,mistral:7b,run3_p12,137.71,67.0,,,n/a
11633.028,,mistral:7b,run3_p12,137.91,67.0,,,n/a
11633.553,,mistral:7b,run3_p12,137.98,67.0,,,n/a
11634.080,,mistral:7b,run3_p12,137.77,68.0,,,n/a
11634.603,,mistral:7b,run3_p12,137.74,67.0,,,n/a
11635.126,,mistral:7b,run3_p12,137.49,67.0,,,n/a
11635.649,,mistral:7b,run3_p12,137.45,67.0,,,n/a
11636.173,,mistral:7b,run3_p12,137.40,67.0,,,n/a
11636.707,,mistral:7b,run3_p13,98.38,56.0,,,n/a
11637.231,,mistral:7b,run3_p13,95.95,66.0,,,n/a
11637.753,,mistral:7b,run3_p13,126.30,67.0,,,n/a
11638.277,,mistral:7b,run3_p13,137.68,67.0,,,n/a
11638.800,,mistral:7b,run3_p13,137.78,67.0,,,n/a
11639.324,,mistral:7b,run3_p13,137.74,67.0,,,n/a
11639.847,,mistral:7b,run3_p13,137.70,67.0,,,n/a
11640.371,,mistral:7b,run3_p13,137.35,67.0,,,n/a
11640.893,,mistral:7b,run3_p13,137.29,67.0,,,n/a
11641.417,,mistral:7b,run3_p13,137.80,67.0,,,n/a
11641.939,,mistral:7b,run3_p13,137.90,67.0,,,n/a
11642.466,,mistral:7b,run3_p13,137.93,67.0,,,n/a
11642.989,,mistral:7b,run3_p13,137.96,67.0,,,n/a
11643.511,,mistral:7b,run3_p13,138.07,67.0,,,n/a
11644.033,,mistral:7b,run3_p13,138.11,67.0,,,n/a
11644.558,,mistral:7b,run3_p13,138.03,67.0,,,n/a
11645.079,,mistral:7b,run3_p13,137.94,67.0,,,n/a
11645.603,,mistral:7b,run3_p13,137.46,67.0,,,n/a
11646.125,,mistral:7b,run3_p13,135.71,67.0,,,n/a
11646.647,,mistral:7b,run3_p13,135.90,68.0,,,n/a
11647.173,,mistral:7b,run3_p13,138.46,68.0,,,n/a
11647.697,,mistral:7b,run3_p13,138.37,67.0,,,n/a
11648.220,,mistral:7b,run3_p13,138.27,67.0,,,n/a
11648.763,,mistral:7b,run3_p13,138.39,68.0,,,n/a
11649.307,,mistral:7b,run3_p14,96.96,58.0,,,n/a
11649.837,,mistral:7b,run3_p14,93.45,64.0,,,n/a
11650.363,,mistral:7b,run3_p14,134.69,67.0,,,n/a
11650.889,,mistral:7b,run3_p14,137.89,67.0,,,n/a
11651.412,,mistral:7b,run3_p14,137.82,67.0,,,n/a
11651.937,,mistral:7b,run3_p14,137.95,67.0,,,n/a
11652.462,,mistral:7b,run3_p14,137.72,67.0,,,n/a
11652.986,,mistral:7b,run3_p14,137.47,67.0,,,n/a
11653.509,,mistral:7b,run3_p14,137.94,67.0,,,n/a
11654.033,,mistral:7b,run3_p14,138.13,67.0,,,n/a
11654.558,,mistral:7b,run3_p14,138.05,68.0,,,n/a
11655.081,,mistral:7b,run3_p14,138.06,67.0,,,n/a
11655.604,,mistral:7b,run3_p14,138.19,67.0,,,n/a
11656.128,,mistral:7b,run3_p14,138.05,67.0,,,n/a
11656.651,,mistral:7b,run3_p14,138.09,67.0,,,n/a
11657.174,,mistral:7b,run3_p14,138.16,67.0,,,n/a
11657.698,,mistral:7b,run3_p14,137.87,67.0,,,n/a
11658.220,,mistral:7b,run3_p14,137.73,67.0,,,n/a
11658.771,,mistral:7b,run3_p14,137.79,68.0,,,n/a
11659.294,,mistral:7b,run3_p14,137.77,67.0,,,n/a
11659.824,,mistral:7b,run3_p14,137.86,68.0,,,n/a
11660.352,,mistral:7b,run3_p14,138.11,68.0,,,n/a
11660.875,,mistral:7b,run3_p14,138.23,68.0,,,n/a
11661.399,,mistral:7b,run3_p14,138.09,68.0,,,n/a
11661.925,,mistral:7b,run3_p14,138.01,68.0,,,n/a
11662.449,,mistral:7b,run3_p14,138.00,67.0,,,n/a
11662.975,,mistral:7b,run3_p14,137.43,68.0,,,n/a
11663.499,,mistral:7b,run3_p14,137.59,67.0,,,n/a
11664.024,,mistral:7b,run3_p14,138.29,68.0,,,n/a
11664.549,,mistral:7b,run3_p14,138.56,67.0,,,n/a
11665.071,,mistral:7b,run3_p14,138.21,67.0,,,n/a
11687.775,,qwen2.5:0.5b,idle,34.61,47.0,,,n/a
11688.297,,qwen2.5:0.5b,idle,34.75,47.0,,,n/a
11688.818,,qwen2.5:0.5b,idle,34.71,47.0,,,n/a
11689.339,,qwen2.5:0.5b,idle,33.11,47.0,,,n/a
11689.872,,qwen2.5:0.5b,idle,23.80,46.0,,,n/a
11690.396,,qwen2.5:0.5b,idle,15.94,45.0,,,n/a
11690.919,,qwen2.5:0.5b,idle,13.78,45.0,,,n/a
11691.445,,qwen2.5:0.5b,idle,12.80,45.0,,,n/a
11692.011,,qwen2.5:0.5b,idle,12.73,45.0,,,n/a
11692.537,,qwen2.5:0.5b,idle,12.63,45.0,,,n/a
11693.100,,qwen2.5:0.5b,idle,12.77,45.0,,,n/a
11693.626,,qwen2.5:0.5b,idle,13.27,45.0,,,n/a
11694.151,,qwen2.5:0.5b,idle,13.72,45.0,,,n/a
11694.680,,qwen2.5:0.5b,idle,13.75,44.0,,,n/a
11695.205,,qwen2.5:0.5b,idle,13.35,44.0,,,n/a
11695.728,,qwen2.5:0.5b,idle,13.38,44.0,,,n/a
11696.253,,qwen2.5:0.5b,idle,12.93,44.0,,,n/a
11696.779,,qwen2.5:0.5b,idle,12.33,44.0,,,n/a
11697.302,,qwen2.5:0.5b,idle,12.33,44.0,,,n/a
11697.829,,qwen2.5:0.5b,run1_p0,12.46,44.0,,,n/a
11698.358,,qwen2.5:0.5b,run1_p1,18.02,44.0,,,n/a
11698.880,,qwen2.5:0.5b,run1_p1,45.95,49.0,,,n/a
11699.406,,qwen2.5:0.5b,run1_p2,79.18,53.0,,,n/a
11699.936,,qwen2.5:0.5b,run1_p3,66.21,49.0,,,n/a
11700.465,,qwen2.5:0.5b,run1_p4,49.55,47.0,,,n/a
11700.994,,qwen2.5:0.5b,run1_p5,49.24,48.0,,,n/a
11701.522,,qwen2.5:0.5b,run1_p6,45.78,49.0,,,n/a
11702.047,,qwen2.5:0.5b,run1_p6,45.48,48.0,,,n/a
11702.576,,qwen2.5:0.5b,run1_p7,45.79,47.0,,,n/a
11703.099,,qwen2.5:0.5b,run1_p7,47.63,48.0,,,n/a
11703.623,,qwen2.5:0.5b,run1_p7,49.81,49.0,,,n/a
11704.145,,qwen2.5:0.5b,run1_p7,55.28,49.0,,,n/a
11704.673,,qwen2.5:0.5b,run1_p7,55.39,49.0,,,n/a
11705.201,,qwen2.5:0.5b,run1_p8,48.23,48.0,,,n/a
11705.724,,qwen2.5:0.5b,run1_p8,43.43,48.0,,,n/a
11706.257,,qwen2.5:0.5b,run1_p8,50.60,49.0,,,n/a
11706.784,,qwen2.5:0.5b,run1_p8,54.72,49.0,,,n/a
11707.313,,qwen2.5:0.5b,run1_p9,51.55,49.0,,,n/a
11707.839,,qwen2.5:0.5b,run1_p9,48.76,47.0,,,n/a
11708.367,,qwen2.5:0.5b,run1_p10,50.83,49.0,,,n/a
11708.894,,qwen2.5:0.5b,run1_p10,51.32,49.0,,,n/a
11709.423,,qwen2.5:0.5b,run1_p10,50.69,49.0,,,n/a
11709.954,,qwen2.5:0.5b,run1_p10,54.54,49.0,,,n/a
11710.477,,qwen2.5:0.5b,run1_p10,54.66,49.0,,,n/a
11711.009,,qwen2.5:0.5b,run1_p11,47.38,47.0,,,n/a
11711.540,,qwen2.5:0.5b,run1_p11,42.95,48.0,,,n/a
11712.064,,qwen2.5:0.5b,run1_p11,50.55,49.0,,,n/a
11712.590,,qwen2.5:0.5b,run1_p11,55.59,49.0,,,n/a
11713.118,,qwen2.5:0.5b,run1_p11,55.60,49.0,,,n/a
